T(s),S1-1B-D,S1-1B-S,S1-2B-D,S1-2B-S,S1-3B-D,S1-3B-S,S1-4B-D,S1-4B-S,S1-5B-D,S1-5B-S,S1-6B-D,S1-6B-S,S1-7B-D,S1-7B-S,S1-8B-D,S1-8B-S
63,295.7371027,295.7835549,295.7770091,295.9723263,295.8711141,295.4974374,296.1186201,295.5036587,296.1139073,296.0445338,296.2285726,296.7279454,295.9603267,295.9565784,295.762226,295.2885855
64,295.7702866,295.818009,295.8131461,296.0072736,295.9076218,295.5299501,296.1570913,295.5356919,296.1513195,296.0818611,296.2660613,296.7691517,295.9971048,295.9934676,295.7974288,295.3194177
65,295.8033042,295.8522988,295.8491153,296.0420083,295.9439424,295.5623283,296.1953275,295.5675894,296.1885012,296.1189624,296.3032869,296.8100008,296.0336736,296.030148,295.8324583,295.3501533
66,295.8361555,295.8864242,295.8849167,296.0765305,295.9800757,295.5945718,296.2333288,295.5993513,296.2254526,296.1558379,296.3402494,296.8504925,296.0700329,296.0666196,295.8673145,295.3807923
67,295.8688405,295.9203852,295.9205504,296.1108402,296.0160219,295.6266808,296.2710952,295.6309776,296.2621734,296.1924873,296.3769488,296.890627,296.1061828,296.1028823,295.9019972,295.4113348
68,295.9013593,295.9541819,295.9560162,296.1449372,296.0517808,295.6586552,296.3086267,295.6624683,296.2986639,296.2289109,296.4133851,296.9304042,296.1421233,296.1389362,295.9365065,295.4417807
69,295.9337119,295.9878142,295.9913143,296.1788218,296.0873526,295.690495,296.3459232,295.6938234,296.334924,296.2651085,296.4495583,296.969824,296.1778544,296.1747813,295.9708425,295.47213
70,295.9658981,296.0212821,296.0264447,296.2124938,296.1227372,295.7222001,296.3829849,295.7250428,296.3709536,296.3010801,296.4854684,297.0088866,296.2133761,296.2104175,296.0050051,295.5023828
71,295.9979182,296.0545856,296.0614072,296.2459532,296.1579346,295.7537707,296.4198116,295.7561267,296.4067528,296.3368258,296.5211154,297.0475918,296.2486884,296.2458448,296.0389943,295.532539
72,296.0297719,296.0877248,296.096202,296.2792001,296.1929449,295.7852067,296.4564034,295.7870749,296.4423215,296.3723456,296.5564993,297.0859398,296.2837912,296.2810634,296.0728101,295.5625987
73,296.0614594,296.1206996,296.1308289,296.3122345,296.2277679,295.8165082,296.4927602,295.8178875,296.4776599,296.4076394,296.5916202,297.1239305,296.3186847,296.316073,296.1064525,295.5925618
74,296.0929807,296.1535101,296.1652882,296.3450563,296.2624037,295.847675,296.5288822,295.8485645,296.5127678,296.4427073,296.6264779,297.1615639,296.3533687,296.3508739,296.1399216,295.6224283
75,296.1243356,296.1861561,296.1995796,296.3776656,296.2968524,295.8787072,296.5647692,295.8791059,296.5476453,296.4775492,296.6610725,297.1988399,296.3878433,296.3854659,296.1732172,295.6521983
76,296.1555244,296.2186378,296.2337032,296.4100623,296.3311138,295.9096048,296.6004213,295.9095117,296.5822923,296.5121652,296.6954041,297.2357587,296.4221085,296.419849,296.2063395,295.6818717
77,296.1865468,296.2509551,296.2676591,296.4422464,296.3651881,295.9403679,296.6358384,295.9397819,296.616709,296.5465553,296.7294725,297.2723202,296.4561643,296.4540233,296.2392884,295.7114485
78,296.217403,296.2831081,296.3014472,296.474218,296.3990752,295.9709963,296.6710207,295.9699164,296.6508952,296.5807194,296.7632778,297.3085243,296.4900107,296.4879888,296.2720639,295.7409288
79,296.2480929,296.3150967,296.3350676,296.5059771,296.4327751,296.0014902,296.705968,295.9999154,296.684851,296.6146575,296.7968201,297.3443712,296.5236476,296.5217454,296.304666,295.7703125
80,296.2786166,296.3469209,296.3685201,296.5375236,296.4662878,296.0318495,296.7406804,296.0297787,296.7185763,296.6483698,296.8300992,297.3798608,296.5570752,296.5552932,296.3370947,295.7995996
81,296.308974,296.3785807,296.4018049,296.5688576,296.4996134,296.0620741,296.7751579,296.0595064,296.7520713,296.681856,296.8631153,297.4149931,296.5902933,296.5886322,296.3693501,295.8287902
82,296.3391652,296.4100762,296.4349219,296.599979,296.5327517,296.0921642,296.8094005,296.0890985,296.7853358,296.7151164,296.8958683,297.4497681,296.623302,296.6217623,296.401432,295.8578842
83,296.3691901,296.4414073,296.4678711,296.6308879,296.5657028,296.1221197,296.8434081,296.118555,296.8183699,296.7481508,296.9283581,297.4841857,296.6561013,296.6546835,296.4333406,295.8868817
84,296.3990487,296.472574,296.5006526,296.6615842,296.5984668,296.1519406,296.8771808,296.1478759,296.8511735,296.7809592,296.9605849,297.5182461,296.6886912,296.6873959,296.4650758,295.9157826
85,296.4287411,296.5035764,296.5332662,296.692068,296.6310436,296.1816269,296.9107186,296.1770612,296.8837468,296.8135417,296.9925486,297.5519492,296.7210717,296.7198995,296.4966376,295.9445869
86,296.4582672,296.5344144,296.5657121,296.7223392,296.6634331,296.2111786,296.9440215,296.2061108,296.9160896,296.8458983,297.0242492,297.585295,296.7532427,296.7521942,296.528026,295.9732946
87,296.4876271,296.565088,296.5979903,296.7523979,296.6956355,296.2405957,296.9770895,296.2350248,296.948202,296.8780289,297.0556866,297.6182835,296.7852044,296.7842801,296.5592411,296.0019058
88,296.5168207,296.5955973,296.6301006,296.782244,296.7276507,296.2698783,297.0099225,296.2638033,296.9800839,296.9099336,297.086861,297.6509147,296.8169566,296.8161572,296.5902827,296.0304205
89,296.545848,296.6259421,296.6620432,296.8118776,296.7594788,296.2990262,297.0425206,296.2924461,297.0117355,296.9416123,297.1177723,297.6831886,296.8484994,296.8478254,296.621151,296.0588385
90,296.5747091,296.6561227,296.6938179,296.8412986,296.7911196,296.3280395,297.0748838,296.3209533,297.0431566,296.9730651,297.1484205,297.7151052,296.8798329,296.8792847,296.6518459,296.08716
91,296.6034039,296.6861388,296.725425,296.8705071,296.8225732,296.3569183,297.107012,296.3493248,297.0743473,297.004292,297.1788056,297.7466645,296.9109569,296.9105353,296.6823674,296.115385
92,296.6319325,296.7159906,296.7568642,296.899503,296.8538397,296.3856625,297.1389054,296.3775608,297.1053075,297.0352929,297.2089276,297.7778665,296.9418714,296.9415769,296.7127155,296.1435133
93,296.6602948,296.745678,296.7881357,296.9282864,296.8849189,296.414272,297.1705638,296.4056612,297.1360374,297.0660678,297.2387865,297.8087112,296.9725766,296.9724098,296.7428902,296.1715452
94,296.6884908,296.775201,296.8192393,296.9568573,296.915811,296.442747,297.2019873,296.4336259,297.1665368,297.0966169,297.2683824,297.8391986,297.0030724,297.0030338,296.7728916,296.1994804
95,296.7165206,296.8045597,296.8501752,296.9852155,296.9465159,296.4710874,297.2331759,296.461455,297.1968057,297.1269399,297.2977151,297.8693287,297.0333587,297.0334489,296.8027195,296.2273191
96,296.7443841,296.8337539,296.8809434,297.0133613,296.9770336,296.4992932,297.2641295,296.4891486,297.2268443,297.1570371,297.3267847,297.8991015,297.0634356,297.0636552,296.8323741,296.2550612
97,296.7720814,296.8627839,296.9115437,297.0412945,297.0073641,296.5273644,297.2948483,296.5167065,297.2566524,297.1869083,297.3555912,297.928517,297.0933031,297.0936527,296.8618553,296.2827068
98,296.7996124,296.8916494,296.9419763,297.0690151,297.0375074,296.555301,297.3253321,296.5441288,297.2862301,297.2165535,297.3841346,297.9575752,297.1229612,297.1234413,296.8911631,296.3102557
99,296.8269771,296.9203506,296.9722411,297.0965232,297.0674636,296.583103,297.355581,296.5714154,297.3155774,297.2459728,297.412415,297.9862761,297.1524099,297.1530211,296.9202975,296.3377082
100,296.8541756,296.9488874,297.0023381,297.1238188,297.0972325,296.6107704,297.3855949,296.5985665,297.3446943,297.2751662,297.4404322,298.0146197,297.1816492,297.1823921,296.9492586,296.365064
101,296.8812079,296.9772598,297.0322674,297.1509018,297.1268143,296.6383033,297.415374,296.6255819,297.3735807,297.3041336,297.4681864,298.0426061,297.210679,297.2115542,296.9780462,296.3923233
102,296.9080738,297.0054679,297.0620289,297.1777722,297.1562088,296.6657015,297.4449181,296.6524618,297.4022367,297.3328751,297.4956774,298.0702351,297.2394995,297.2405074,297.0066605,296.4194861
103,296.9347735,297.0335116,297.0916226,297.2044301,297.1854162,296.6929651,297.4742273,296.679206,297.4306623,297.3613907,297.5229054,298.0975068,297.2681105,297.2692518,297.0351014,296.4465522
104,296.961307,297.0613909,297.1210485,297.2308755,297.2144364,296.7200942,297.5033016,296.7058146,297.4588575,297.3896802,297.5498702,298.1244212,297.2965121,297.2977874,297.0633689,296.4735218
105,296.9876741,297.0891059,297.1503066,297.2571083,297.2432694,296.7470887,297.5321409,296.7322876,297.4868222,297.4177439,297.576572,298.1509783,297.3247043,297.3261141,297.091463,296.5003949
106,297.0138751,297.1166565,297.179397,297.2831285,297.2719152,296.7739485,297.5607454,296.758625,297.5145565,297.4455816,297.6030106,298.1771782,297.3526871,297.354232,297.1193837,296.5271714
107,297.0399097,297.1440427,297.2083196,297.3089362,297.3003738,296.8006738,297.5891149,296.7848268,297.5420604,297.4731934,297.6291862,298.2030207,297.3804605,297.3821411,297.1471311,296.5538513
108,297.0657781,297.1712645,297.2370744,297.3345314,297.3286453,296.8272645,297.6172494,296.8108929,297.5693338,297.5005792,297.6550987,298.2285059,297.4080245,297.4098413,297.174705,296.5804346
109,297.0914803,297.198322,297.2656614,297.359914,297.3567295,296.8537206,297.6451491,296.8368235,297.5963769,297.5277391,297.680748,298.2536338,297.435379,297.4373326,297.2021056,296.6069214
110,297.1170161,297.2252151,297.2940807,297.3850841,297.3846266,296.8800421,297.6728139,296.8626184,297.6231895,297.554673,297.7061343,298.2784045,297.4625242,297.4646152,297.2293328,296.6333117
111,297.1423858,297.2519439,297.3223322,297.4100416,297.4123365,296.906229,297.7002437,296.8882777,297.6497716,297.581381,297.7312575,298.3028178,297.4894599,297.4916888,297.2563866,296.6596053
112,297.1675891,297.2785082,297.3504159,297.4347866,297.4398592,296.9322813,297.7274386,296.9138014,297.6761234,297.6078631,297.7561176,298.3268738,297.5161862,297.5185537,297.283267,296.6858024
113,297.1926262,297.3049082,297.3783318,297.459319,297.4671946,296.958199,297.7543986,296.9391895,297.7022447,297.6341192,297.7807146,298.3505726,297.5427031,297.5452097,297.309974,296.7119029
114,297.2174971,297.3311439,297.40608,297.4836389,297.494343,296.9839822,297.7811236,296.964442,297.7281356,297.6601494,297.8050485,298.373914,297.5690106,297.5716568,297.3365077,296.7379069
115,297.2422017,297.3572151,297.4336603,297.5077462,297.5213041,297.0096307,297.8076137,296.9895589,297.7537961,297.6859536,297.8291193,298.3968981,297.5951086,297.5978951,297.3628679,296.7638143
116,297.2615074,297.376853,297.4537203,297.5263154,297.5411379,297.0294698,297.8265997,297.0092053,297.7727085,297.7049128,297.8470851,298.413587,297.6143567,297.6172045,297.3825925,296.784143
117,297.2794883,297.3949072,297.4719253,297.5435319,297.5592179,297.0478767,297.8437449,297.0275045,297.7899684,297.7221947,297.8635641,298.4287557,297.6319236,297.6348128,297.4006841,296.8030915
118,297.2974692,297.4129613,297.4901304,297.5607484,297.577298,297.0662836,297.86089,297.0458038,297.8072283,297.7394766,297.8800431,298.4439243,297.6494906,297.6524212,297.4187757,296.8220401
119,297.3154502,297.4310155,297.5083354,297.5779649,297.595378,297.0846906,297.8780352,297.064103,297.8244882,297.7567584,297.8965222,298.459093,297.6670575,297.6700296,297.4368673,296.8409886
120,297.3334311,297.4490697,297.5265404,297.5951815,297.6134581,297.1030975,297.8951804,297.0824022,297.8417481,297.7740403,297.9130012,298.4742616,297.6846245,297.687638,297.454959,296.8599371
121,297.3514121,297.4671239,297.5447455,297.612398,297.6315382,297.1215044,297.9123255,297.1007014,297.859008,297.7913222,297.9294802,298.4894303,297.7021914,297.7052464,297.4730506,296.8788856
122,297.369393,297.4851781,297.5629505,297.6296145,297.6496182,297.1399113,297.9294707,297.1190006,297.8762679,297.8086041,297.9459592,298.5045989,297.7197584,297.7228548,297.4911422,296.8978341
123,297.3873739,297.5032322,297.5811555,297.646831,297.6676983,297.1583182,297.9466159,297.1372998,297.8935278,297.8258859,297.9624383,298.5197676,297.7373253,297.7404632,297.5092338,296.9167827
124,297.4053549,297.5212864,297.5993606,297.6640475,297.6857783,297.1767251,297.963761,297.1555991,297.9107877,297.8431678,297.9789173,298.5349363,297.7548923,297.7580716,297.5273254,296.9357312
125,297.4233358,297.5393406,297.6175656,297.6812641,297.7038584,297.1951321,297.9809062,297.1738983,297.9280476,297.8604497,297.9953963,298.5501049,297.7724592,297.77568,297.545417,296.9546797
126,297.4413167,297.5573948,297.6357706,297.6984806,297.7219384,297.213539,297.9980514,297.1921975,297.9453075,297.8777316,298.0118753,298.5652736,297.7900262,297.7932884,297.5635087,296.9736282
127,297.4592977,297.575449,297.6539756,297.7156971,297.7400185,297.2319459,298.0151965,297.2104967,297.9625674,297.8950134,298.0283543,298.5804422,297.8075931,297.8108968,297.5816003,296.9925768
128,297.4772786,297.5935031,297.6721807,297.7329136,297.7580986,297.2503528,298.0323417,297.2287959,297.9798273,297.9122953,298.0448334,298.5956109,297.8251601,297.8285052,297.5996919,297.0115253
129,297.4952596,297.6115573,297.6903857,297.7501302,297.7761786,297.2687597,298.0494869,297.2470951,297.9970872,297.9295772,298.0613124,298.6107795,297.842727,297.8461135,297.6177835,297.0304738
130,297.5132405,297.6296115,297.7085907,297.7673467,297.7942587,297.2871666,298.066632,297.2653944,298.0143471,297.946859,298.0777914,298.6259482,297.860294,297.8637219,297.6358751,297.0494223
131,297.5312214,297.6476657,297.7267958,297.7845632,297.8123387,297.3055736,298.0837772,297.2836936,298.031607,297.9641409,298.0942704,298.6411169,297.8778609,297.8813303,297.6539667,297.0683708
132,297.5492024,297.6657199,297.7450008,297.8017797,297.8304188,297.3239805,298.1009224,297.3019928,298.0488669,297.9814228,298.1107495,298.6562855,297.8954279,297.8989387,297.6720584,297.0873194
133,297.5671833,297.683774,297.7632058,297.8189962,297.8484989,297.3423874,298.1180675,297.320292,298.0661268,297.9987047,298.1272285,298.6714542,297.9129948,297.9165471,297.69015,297.1062679
134,297.5851642,297.7018282,297.7814109,297.8362128,297.8665789,297.3607943,298.1352127,297.3385912,298.0833867,298.0159865,298.1437075,298.6866228,297.9305618,297.9341555,297.7082416,297.1252164
135,297.6031452,297.7198824,297.7996159,297.8534293,297.884659,297.3792012,298.1523578,297.3568904,298.1006466,298.0332684,298.1601865,298.7017915,297.9481287,297.9517639,297.7263332,297.1441649
136,297.6211261,297.7379366,297.8178209,297.8706458,297.902739,297.3976081,298.169503,297.3751897,298.1179065,298.0505503,298.1766656,298.7169601,297.9656957,297.9693723,297.7444248,297.1631134
137,297.6391071,297.7559907,297.8360259,297.8878623,297.9208191,297.4160151,298.1866482,297.3934889,298.1351664,298.0678322,298.1931446,298.7321288,297.9832626,297.9869807,297.7625164,297.182062
138,297.657088,297.7740449,297.854231,297.9050789,297.9388991,297.434422,298.2037933,297.4117881,298.1524263,298.085114,298.2096236,298.7472975,298.0008296,298.0045891,297.7806081,297.2010105
